Backfilling LGA boundaries for 542 locales.
[392/542] Playford... ok (Polygon, 187557 chars)
[393/542] Pormpuraaw... ok (MultiPolygon, 70320 chars)
[394/542] Port Adelaide Enfield... ok (Polygon, 74716 chars)
[395/542] Port Augusta... ok (MultiPolygon, 107436 chars)
[396/542] Port Hedland... ok (MultiPolygon, 171580 chars)
[397/542] Port Lincoln... ok (Polygon, 28378 chars)
[398/542] Port Macquarie-Hastings... ok (MultiPolygon, 574478 chars)
[399/542] Port Phillip... ok (Polygon, 30595 chars)
[400/542] Port Pirie... ok (MultiPolygon, 123858 chars)
[401/542] Port Stephens... ok (MultiPolygon, 495664 chars)
[402/542] Prospect... ok (Polygon, 6442 chars)
[403/542] Pyrenees... ok (Polygon, 273987 chars)
[404/542] Quairading... ok (Polygon, 28878 chars)
[405/542] Queanbeyan-Palerang Regional... ok (Polygon, 675673 chars)
[406/542] Queenscliffe... ok (MultiPolygon, 88753 chars)
[407/542] Quilpie... ok (Polygon, 79150 chars)
[408/542] Randwick... ok (MultiPolygon, 101433 chars)
[409/542] Ravensthorpe... ok (MultiPolygon, 565617 chars)
[410/542] Redland... ok (MultiPolygon, 400547 chars)
[411/542] Renmark Paringa... ok (Polygon, 33580 chars)
[412/542] Richmond... ok (Polygon, 21884 chars)
[413/542] Richmond Valley... ok (Polygon, 328125 chars)
[414/542] Robe... ok (MultiPolygon, 56311 chars)
[415/542] Rockhampton... ok (Polygon, 139075 chars)
[416/542] Rockingham... ok (MultiPolygon, 116852 chars)
[417/542] Roper Gulf... ok (MultiPolygon, 239344 chars)
[418/542] Roxby Downs... ok (Polygon, 693 chars)
[419/542] Ryde... ok (Polygon, 139896 chars)
[420/542] Salisbury... ok (Polygon, 36002 chars)
[421/542] Sandstone... ok (Polygon, 9502 chars)
[422/542] Scenic Rim... ok (Polygon, 151871 chars)
[423/542] Serpentine-Jarrahdale... ok (Polygon, 21137 chars)
[424/542] Shark Bay... ok (MultiPolygon, 242433 chars)
[425/542] Shellharbour... ok (MultiPolygon, 136799 chars)
[426/542] Shoalhaven... ok (MultiPolygon, 759891 chars)
[427/542] Singleton... ok (Polygon, 454442 chars)
[428/542] Snowy Monaro Regional... ok (Polygon, 506086 chars)
[429/542] Snowy Valleys... ok (Polygon, 840677 chars)
[430/542] Somerset... ok (Polygon, 207972 chars)
[431/542] Sorell... ok (MultiPolygon, 633340 chars)
[432/542] South Burnett... ok (MultiPolygon, 120383 chars)
[433/542] Southern Downs... ok (Polygon, 138913 chars)
[434/542] Southern Grampians... ok (Polygon, 283911 chars)
[435/542] Southern Mallee... ok (Polygon, 26732 chars)
[436/542] Southern Midlands... ok (Polygon, 284708 chars)
[437/542] South Gippsland... ok (Polygon, 615732 chars)
[438/542] South Perth... ok (Polygon, 40200 chars)
[439/542] Stirling... ok (Polygon, 41875 chars)
[440/542] Stonnington... ok (Polygon, 36091 chars)
[441/542] Strathbogie... ok (Polygon, 328191 chars)
[442/542] Strathfield... ok (Polygon, 18615 chars)
[443/542] Streaky Bay... ok (MultiPolygon, 300815 chars)
[444/542] Subiaco... ok (Polygon, 9106 chars)
[445/542] Sunshine Coast... ok (MultiPolygon, 254385 chars)
[446/542] Surf Coast... ok (Polygon, 148192 chars)
[447/542] Sutherland Shire... ok (Polygon, 1058735 chars)
[448/542] Swan... ok (Polygon, 71087 chars)
[449/542] Swan Hill... ok (Polygon, 555853 chars)
[450/542] Sydney... ok (Polygon, 63312 chars)
[451/542] Tablelands... ok (Polygon, 167521 chars)
[452/542] Tammin... ok (Polygon, 23119 chars)
[453/542] Tamworth Regional... ok (Polygon, 421837 chars)
[454/542] Tasman... ok (MultiPolygon, 1420431 chars)
[455/542] Tatiara... ok (Polygon, 21380 chars)
[456/542] Tea Tree Gully... ok (Polygon, 44148 chars)
[457/542] Temora... ok (Polygon, 117306 chars)
[458/542] Tenterfield... ok (Polygon, 444250 chars)
[459/542] The Hills Shire... ok (Polygon, 107463 chars)
[460/542] Three Springs... ok (Polygon, 25984 chars)
[461/542] Tiwi Islands... ok (MultiPolygon, 222967 chars)
[462/542] Toodyay... ok (Polygon, 9840 chars)
[463/542] Toowoomba... ok (Polygon, 154032 chars)
[464/542] Torres... ok (MultiPolygon, 208470 chars)
[465/542] Torres Strait Island... ok (MultiPolygon, 202269 chars)
[466/542] Townsville... ok (MultiPolygon, 392442 chars)
[467/542] Towong... ok (Polygon, 763989 chars)
[468/542] Trayning... ok (Polygon, 9764 chars)
[469/542] Tumby Bay... ok (Polygon, 90357 chars)
[470/542] Tweed... ok (MultiPolygon, 390586 chars)
[471/542] Unley... ok (Polygon, 7990 chars)
[472/542] Upper Gascoyne... ok (Polygon, 13477 chars)
[473/542] Upper Hunter Shire... ok (Polygon, 1027060 chars)
[474/542] Upper Lachlan Shire... ok (Polygon, 536917 chars)
[475/542] Uralla... ok (Polygon, 239338 chars)
[476/542] Victor Harbor... ok (MultiPolygon, 38182 chars)
[477/542] Victoria Daly... ok (MultiPolygon, 176309 chars)
[478/542] Victoria Park... ok (Polygon, 35137 chars)
[479/542] Victoria Plains... ok (Polygon, 12760 chars)
[480/542] Vincent... ok (Polygon, 15463 chars)
[481/542] Wagait... ok (MultiPolygon, 5630 chars)
[482/542] Wagga Wagga... ok (Polygon, 184265 chars)
[483/542] Wagin... ok (Polygon, 25951 chars)
[484/542] Wakefield... ok (Polygon, 63404 chars)
[485/542] Walcha... ok (Polygon, 512337 chars)
